# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Lite Edition
# File: E:\FPGA\DE2_repository\fpgafinallab\MuseDash\quartus\MuseDash.csv
# Generated on: Sat May 25 22:35:10 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CurrentJudge_7Seg_0[0],Output,PIN_AB19,4,B4_N0,PIN_G12,,,,,,
CurrentJudge_7Seg_0[1],Output,PIN_AA19,4,B4_N0,PIN_AC10,,,,,,
CurrentJudge_7Seg_0[2],Output,PIN_AG21,4,B4_N2,PIN_B17,,,,,,
CurrentJudge_7Seg_0[3],Output,PIN_AH21,4,B4_N2,PIN_U22,,,,,,
CurrentJudge_7Seg_0[4],Output,PIN_AE19,4,B4_N1,PIN_V1,,,,,,
CurrentJudge_7Seg_0[5],Output,PIN_AF19,4,B4_N1,PIN_D7,,,,,,
CurrentJudge_7Seg_0[6],Output,PIN_AE18,4,B4_N2,PIN_AF5,,,,,,
CurrentJudge_7Seg_1[0],Output,PIN_AD18,4,B4_N1,PIN_AA19,,,,,,
CurrentJudge_7Seg_1[1],Output,PIN_AC18,4,B4_N1,PIN_AC14,,,,,,
CurrentJudge_7Seg_1[2],Output,PIN_AB18,4,B4_N0,PIN_AH3,,,,,,
CurrentJudge_7Seg_1[3],Output,PIN_AH19,4,B4_N2,PIN_C21,,,,,,
CurrentJudge_7Seg_1[4],Output,PIN_AG19,4,B4_N2,PIN_P27,,,,,,
CurrentJudge_7Seg_1[5],Output,PIN_AF18,4,B4_N1,PIN_J15,,,,,,
CurrentJudge_7Seg_1[6],Output,PIN_AH18,4,B4_N2,PIN_Y4,,,,,,
LCD_DATA[0],Output,PIN_L3,1,B1_N1,PIN_B10,,,,,,
LCD_DATA[1],Output,PIN_L1,1,B1_N2,PIN_J13,,,,,,
LCD_DATA[2],Output,PIN_L2,1,B1_N2,PIN_H13,,,,,,
LCD_DATA[3],Output,PIN_K7,1,B1_N1,PIN_D10,,,,,,
LCD_DATA[4],Output,PIN_K1,1,B1_N1,PIN_G13,,,,,,
LCD_DATA[5],Output,PIN_K2,1,B1_N1,PIN_A10,,,,,,
LCD_DATA[6],Output,PIN_M3,1,B1_N1,PIN_J12,,,,,,
LCD_DATA[7],Output,PIN_M5,1,B1_N2,PIN_C10,,,,,,
LCD_E,Output,PIN_L4,1,B1_N1,PIN_R22,,,,,,
LCD_ON,Output,PIN_L5,1,B1_N1,PIN_AF24,,,,,,
LCD_RS,Output,PIN_M2,1,B1_N2,PIN_E11,,,,,,
LCD_RW,Output,PIN_M1,1,B1_N2,PIN_F11,,,,,,
TotalScore_7Seg_0[0],Output,PIN_G18,7,B7_N2,PIN_AF2,,,,,,
TotalScore_7Seg_0[1],Output,PIN_F22,7,B7_N0,PIN_E4,,,,,,
TotalScore_7Seg_0[2],Output,PIN_E17,7,B7_N2,PIN_C24,,,,,,
TotalScore_7Seg_0[3],Output,PIN_L26,6,B6_N1,PIN_AB5,,,,,,
TotalScore_7Seg_0[4],Output,PIN_L25,6,B6_N1,PIN_F10,,,,,,
TotalScore_7Seg_0[5],Output,PIN_J22,6,B6_N0,PIN_M21,,,,,,
TotalScore_7Seg_0[6],Output,PIN_H22,6,B6_N0,PIN_AE18,,,,,,
TotalScore_7Seg_1[0],Output,PIN_M24,6,B6_N2,PIN_U4,,,,,,
TotalScore_7Seg_1[1],Output,PIN_Y22,5,B5_N0,PIN_K3,,,,,,
TotalScore_7Seg_1[2],Output,PIN_W21,5,B5_N1,PIN_B11,,,,,,
TotalScore_7Seg_1[3],Output,PIN_W22,5,B5_N0,PIN_D28,,,,,,
TotalScore_7Seg_1[4],Output,PIN_W25,5,B5_N1,PIN_F5,,,,,,
TotalScore_7Seg_1[5],Output,PIN_U23,5,B5_N1,PIN_AB7,,,,,,
TotalScore_7Seg_1[6],Output,PIN_U24,5,B5_N0,PIN_AF22,,,,,,
TotalScore_7Seg_2[0],Output,PIN_AA25,5,B5_N1,PIN_AE6,,,,,,
TotalScore_7Seg_2[1],Output,PIN_AA26,5,B5_N1,PIN_AA13,,,,,,
TotalScore_7Seg_2[2],Output,PIN_Y25,5,B5_N1,PIN_Y3,,,,,,
TotalScore_7Seg_2[3],Output,PIN_W26,5,B5_N1,PIN_AB14,,,,,,
TotalScore_7Seg_2[4],Output,PIN_Y26,5,B5_N1,PIN_AB21,,,,,,
TotalScore_7Seg_2[5],Output,PIN_W27,5,B5_N1,PIN_P2,,,,,,
TotalScore_7Seg_2[6],Output,PIN_W28,5,B5_N1,PIN_G21,,,,,,
TotalScore_7Seg_3[0],Output,PIN_V21,5,B5_N1,PIN_AF13,,,,,,
TotalScore_7Seg_3[1],Output,PIN_U21,5,B5_N0,PIN_D13,,,,,,
TotalScore_7Seg_3[2],Output,PIN_AB20,4,B4_N0,PIN_AD4,,,,,,
TotalScore_7Seg_3[3],Output,PIN_AA21,4,B4_N0,PIN_F8,,,,,,
TotalScore_7Seg_3[4],Output,PIN_AD24,4,B4_N0,PIN_D23,,,,,,
TotalScore_7Seg_3[5],Output,PIN_AF23,4,B4_N0,PIN_AH22,,,,,,
TotalScore_7Seg_3[6],Output,PIN_Y19,4,B4_N0,PIN_U26,,,,,,
clickdown,Input,PIN_N21,6,B6_N2,PIN_A18,,,,,,
clickup,Input,PIN_R24,5,B5_N0,PIN_AF8,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
restart,Input,PIN_M23,6,B6_N2,PIN_R7,,,,,,
rst_n,Input,PIN_AB28,5,B5_N1,PIN_Y2,,,,,,
